,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
366,Tabas,IR,87.58,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
368,Ginda,IN,77.86,clear sky,30.6945,78.4932,Bhandari hi tech plant nursary.
369,Sao Jose Da Coroa Grande,BR,75.63,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
371,Tura,IN,77.68,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
373,Naze,JP,79.72,few clouds,28.3667,129.4833,Shishime Hotel
378,Kieta,PG,80.11,few clouds,-6.2167,155.6333,Uruna Bay Retreat
379,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
380,Adeje,ES,76.08,broken clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
387,Gombong,ID,79.47,light rain,-7.6072,109.5142,Grafika Hotel Dan Restoran
388,Mahibadhoo,MV,81.12,overcast clouds,3.7833,72.9667,Omadhoo Inn
393,Bengkulu,ID,81.63,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
394,Burgersdorp,ZA,84.0,clear sky,-30.9977,26.3286,DeKat Self Catering
399,Nago,JP,88.65,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
400,Quatre Cocos,MU,77.11,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
402,Trincomalee,LK,86.88,broken clouds,8.5711,81.2335,Welcombe Hotel
403,Acajutla,SV,77.22,light rain,13.5928,-89.8275,CASA DE LA PERRA
408,Mwinilunga,ZM,88.2,clear sky,-11.7358,24.4293,Kwakuwahi Lodge
413,Thinadhoo,MV,82.6,broken clouds,0.5333,72.9333,
417,French Harbor,HN,80.08,overcast clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
432,Dingle,PH,82.62,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
441,Alexandria,EG,84.16,scattered clouds,31.2156,29.9553,Royal Crown Hotel
443,Daru,PG,79.84,scattered clouds,-9.0763,143.2092,Daru Lodge
444,Katobu,ID,82.85,light rain,-4.9408,122.5276,La Ode Husein
445,Mana,GF,75.52,overcast clouds,5.6592,-53.7767,LE SAMANA
446,Cap Malheureux,MU,77.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
452,Wewak,PG,81.55,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
457,Roebourne,AU,80.82,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
458,Anloga,GH,79.72,broken clouds,5.7947,0.8973,Pin Drop Hotel
460,Tottori,JP,80.67,broken clouds,35.5,134.2333,Hotel Monarque Tottori
465,Puro,PH,84.07,heavy intensity rain,12.4841,123.3827,
466,Ndjole,GA,76.98,overcast clouds,-0.1783,10.7649,Motel Kédyann
467,Rudbar,AF,86.97,clear sky,30.15,62.6,
470,Atar,MR,88.65,broken clouds,20.5169,-13.0499,Oumou Elghoura
473,Aborlan,PH,86.07,overcast clouds,9.4352,118.5492,Kevina Transient House
474,Khuzdar,PK,85.41,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
475,Itoman,JP,88.57,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
478,Kongolo,CD,85.6,broken clouds,-5.3833,27.0,GUEST HOUSE OASIS
483,Phangnga,TH,82.44,overcast clouds,8.4509,98.5298,Sunimit Mansion
485,Kuching,MY,86.22,scattered clouds,1.55,110.3333,Hilton Kuching
488,Kijang,KR,78.53,broken clouds,35.2442,129.2139,Samyang Beach Villa
489,Morant Bay,JM,78.42,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
490,Turayf,SA,86.25,clear sky,31.6725,38.6637,Al Mudawah Hotel
491,Barcelos,PT,76.91,clear sky,41.5388,-8.6151,Hotel Do Terço
495,Ha Tinh,VN,81.45,scattered clouds,18.3333,105.9,Phú Quý
499,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
501,Male,MV,85.95,broken clouds,4.1748,73.5089,Hotel Octave Maldives
508,Harper,LR,77.94,light rain,4.375,-7.7169,Screensaver
509,Weligama,LK,80.71,scattered clouds,5.9667,80.4167,Weligama Bay Resort
511,Juba,SS,87.49,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
512,Surt,LY,77.92,broken clouds,31.2089,16.5887,فندق المدينة
514,Gazanjyk,TM,75.79,clear sky,39.2446,55.5154,Railway motel
521,Itigi,TZ,81.81,scattered clouds,-5.7,34.4833,SAAMBILI PUB 🍻 & LODGE
522,Cockburn Town,TC,82.4,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
523,Inhambane,MZ,82.38,scattered clouds,-23.865,35.3833,Oceano
528,Kodinar,IN,84.7,broken clouds,20.7903,70.7031,residency of N.B vadhel
530,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,hotel la terminal
531,Chatra,IN,83.89,light rain,24.2167,84.8667,GOPI BHOJNALAY
535,Jerantut,MY,80.06,light rain,3.936,102.3626,Jerantut Hill Resort
536,Mangai,CD,85.77,broken clouds,-4.05,19.5333,
539,Alibag,IN,87.87,scattered clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
542,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
546,Kannangad,IN,81.73,moderate rain,12.3081,75.1063,Hotel Landmark
549,Road Town,VG,82.49,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
558,Bandarbeyla,SO,84.34,broken clouds,9.4942,50.8122,JABIR HOTEL
560,Kyotera,UG,84.36,overcast clouds,-0.6156,31.5175,NEW PARADISE GUEST HOUSE
562,Axim,GH,80.94,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
567,Maine-Soroa,NE,89.44,overcast clouds,13.2114,12.0241,Complexe
568,Panlaitan,PH,85.24,overcast clouds,12.1191,119.8486,SOUTH BEACH
569,Sapa,PH,83.77,light rain,5.1544,120.3241,
571,Gushikawa,JP,87.8,clear sky,26.3544,127.8686,Kirari Guest House
573,Veraval,IN,84.27,broken clouds,20.9,70.3667,Lords Inn Somnath
575,Sao Filipe,CV,78.37,scattered clouds,14.8961,-24.4956,Hotel Xaguate
576,Iracoubo,GF,75.79,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
577,Naples,IT,76.6,scattered clouds,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
578,Metro,ID,83.77,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
581,Rong Kwang,TH,82.44,overcast clouds,18.339,100.3174,Rong Kwang Hotel
585,Trairi,BR,77.67,few clouds,-3.2778,-39.2689,janelas do mar
588,Ndele,CF,81.73,light rain,8.4109,20.6473,
591,Muroto,JP,76.77,clear sky,33.2833,134.15,Oota Ryokan
592,Kefalos,GR,75.42,clear sky,36.7453,26.9589,Kokalakis Hotel
